id,issue_id,user_id,stance,comment,created_at
1,1,1,YES,,"2024-12-23 13:06:59"
2,3,1,NO,"税金！","2024-12-23 13:06:59"
3,1,2,YES,jj,"2024-12-23 13:06:59"
4,2,1,YES,,"2024-12-23 13:06:59"
5,6,1,NO,kjoij,"2024-12-23 13:06:59"
6,5,1,YES,,"2024-12-23 13:06:59"
7,5,2,NO,,"2024-12-23 13:06:59"
8,8,1,YES,,"2024-12-23 13:06:59"
9,14,1,YES,,"2024-12-23 13:06:59"
10,16,1,YES,"いみわからん","2024-12-23 13:06:59"
11,10,1,YES,"泉さん頑張ってー","2024-12-23 13:06:59"
12,12,1,NO,"あちこちいきすぎ","2024-12-23 13:06:59"
13,17,1,NO,,"2024-12-23 13:06:59"
14,2,2,NO,,"2024-12-23 13:06:59"
15,18,1,NO,,"2024-12-23 13:06:59"
16,20,1,NO,,"2024-12-23 13:06:59"
17,18,2,NO,,"2024-12-23 13:06:59"
18,19,2,YES,"最近目撃談が世界中で報告されている","2024-12-23 13:06:59"
19,20,2,NO,"日本経済は無敵！","2024-12-23 13:06:59"
20,14,2,NO,,"2024-12-23 13:06:59"
21,21,1,YES,,"2024-12-23 13:06:59"
22,5,3,NO,,"2024-12-23 13:06:59"
23,17,3,YES,,"2024-12-23 13:06:59"
24,26,3,YES,,"2024-12-23 13:06:59"
25,22,3,YES,,"2024-12-23 13:06:59"
26,23,3,NO,,"2024-12-23 13:06:59"
27,24,3,NO,,"2024-12-23 13:06:59"
28,25,3,YES,,"2024-12-23 13:06:59"
29,28,1,YES,"やはり年越しの風物詩。けどやり方は変えたらいいと思う。","2024-12-23 13:06:59"
30,26,2,NO,"日本人を増やす施策を真面目に考えるべき","2024-12-23 13:06:59"
31,17,2,NO,"戸籍のシステムは優れているので維持すべき","2024-12-23 13:06:59"
32,3,2,NO,"税金の使い道には慎重になるべき","2024-12-23 13:14:08"
33,16,2,YES,"現職大統領の悪巧みがいろいろ露呈してきている","2025-01-13 16:23:11"
34,27,1,YES,,"2024-12-23 13:06:59"
35,19,1,YES,"Hello universe!",
36,32,2,NO,,"2025-01-12 02:33:17"
37,31,1,NO,"グリーンランドは売り物じゃない！","2025-01-13 16:24:12"
38,33,1,YES,"彼ならやりかねない","2025-01-18 02:11:58"
